url,success,doi_found,abstract_found,doi,abstract,extraction_method,error,source,category,domain
http://messenger.jhuapl.edu/news_room/status_report_08_31_07.html,False,False,False,,,,404 Client Error: Not Found for url: https://messenger.jhuapl.edu/news_room/status_report_08_31_07.html,main_url,scientific,messenger.jhuapl.edu
http://scienceroll.com/2007/09/04/7-tips-how-to-track-the-information-you-need/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/04/7-tips-how-to-track-the-information-you-need/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002880891D030>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://www.scientificblogging.com/hank/the_least_known_war_in_science_does_hiv_cause_aids#comment-1600,True,False,True,,"There's a war happening in science but you may not know about it, and it's stranger than most because it is pitting some people with HIV and their loved ones against the scientists and medical community trying to cure it. In other words, it's a war that makes even less sense than most wars.",GenericHandler,,main_url,scientific,scientificblogging.com
http://scienceblogs.com/thusspakezuska/2007/09/friday_bookshelf_james_d_watso.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/thusspakezuska/2007/09/friday_bookshelf_james_d_watso.php,main_url,scientific,scienceblogs.com
http://scienceandpublicpolicy.org/sppi_originals/peerreview.html,True,False,True,,Toto Macau adalah situs togel online resmi dan agen togel terpercaya dengan berbagai permainan togel dan bonus menarik. Bergabunglah untuk pengalaman bermain togel yang aman.,GenericHandler,,main_url,scientific,scienceandpublicpolicy.org
http://www.sciencefriday.com/video/082807/diablohawk082807.html,False,False,False,,,,404 Client Error: Not Found for url: https://www.sciencefriday.com/video/082807/diablohawk082807.html,main_url,scientific,sciencefriday.com
http://www.scienceinreview.com/2007/extreme-male-brain-autism-linked-to-high-foetal-testosterone-levels.html,False,False,False,,,,"HTTPConnectionPool(host='www.scienceinreview.com', port=80): Max retries exceeded with url: /2007/extreme-male-brain-autism-linked-to-high-foetal-testosterone-levels.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000288087C7850>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,scientific,scienceinreview.com
http://www.scientificblogging.com/hank/who_won_the_americas_cup_yacht_race_applied_mathematics?full=1,True,False,True,,"In yacht racing, a one percent difference in boat resistance leads to a gain or loss of more than 30 seconds in a match race.",GenericHandler,,main_url,scientific,scientificblogging.com
http://scienceroll.com/2007/09/14/creative-medicine-related-ads/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/14/creative-medicine-related-ads/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000288087C6DD0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://www.nature.com/news/2007/070910/full/070910-13.html,True,False,True,,Find breaking science news and analysis from the world's leading research journal.,NatureHandler,,main_url,scientific,nature.com
http://www.nature.com/news/2007/070910/full/070910-13.html,True,False,True,,Find breaking science news and analysis from the world's leading research journal.,NatureHandler,,main_url,scientific,nature.com
http://www.badscience.net/?p=531,False,False,False,,,,"HTTPSConnectionPool(host='www.badscience.net', port=443): Max retries exceeded with url: /?p=531 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)')))",main_url,scientific,badscience.net
http://www.scienceinreview.com/2007/science-linked-bacteria.html,False,False,False,,,,"HTTPConnectionPool(host='www.scienceinreview.com', port=80): Max retries exceeded with url: /2007/science-linked-bacteria.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808AC8580>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,scientific,scienceinreview.com
http://scienceblogs.com/grrlscientist/2007/09/running_your_blues_away.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/running_your_blues_away.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/developingintelligence/2007/09/do_neural_networks_segregate_i.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/developingintelligence/2007/09/do_neural_networks_segregate_i.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/insolence/2007/09/jenny_mccarthy_and_oprah_winfrey_two_cra.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/insolence/2007/09/jenny_mccarthy_and_oprah_winfrey_two_cra.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/grrlscientist/2007/09/quill_knobs_reveal_that_veloci.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/quill_knobs_reveal_that_veloci.php,main_url,scientific,scienceblogs.com
http://www.beckman.uiuc.edu/news/articles/feature091907.html,True,False,False,,,GenericHandler,,main_url,scientific,beckman.uiuc.edu
http://scienceblogs.com/insolence/2007/09/a_bad_day_for_antivaccinationists.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/insolence/2007/09/a_bad_day_for_antivaccinationists.php,main_url,scientific,scienceblogs.com
http://www.livescience.com/technology/destroy_earth_mp.html?repost_for_fun,False,False,False,,,,404 Client Error: Not Found for url: https://www.livescience.com/references/technology,main_url,scientific,livescience.com
http://scienceroll.com/2007/09/29/ibioseminars-bringing-the-best-in-biological-research-to-the-world/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/29/ibioseminars-bringing-the-best-in-biological-research-to-the-world/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000028808DDF310>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
